PERMNO,date,RET,sprtrn
10000,1985-12-31,,0.045061
10000,1986-01-31,C,0.002367
10000,1986-02-28,-0.257143,0.071489
10000,1986-03-31,0.365385,0.052794
10000,1986-04-30,-0.098592,-0.014148
10000,1986-05-30,-0.222656,0.050229
10000,1986-06-30,-0.005025,0.01411
10000,1986-07-31,-0.080808,-0.058683
10000,1986-08-29,-0.615385,0.071193
10000,1986-09-30,-0.057143,-0.085439
10000,1986-10-31,-0.242424,0.054729
10000,1986-11-28,0.060000,0.021477
10000,1986-12-31,-0.377358,-0.028288
10000,1987-01-30,-0.212121,0.131767
10000,1987-02-27,0.000000,0.036924
10000,1987-03-31,-0.384615,0.02639
10000,1987-04-30,-0.062500,-0.01145
10000,1987-05-29,-0.066667,0.006034
10000,1987-06-30,,0.047915
10002,1985-12-31,,0.045061
10002,1986-01-31,C,0.002367
10002,1986-02-28,0.139785,0.071489
10002,1986-03-31,0.070755,0.052794
10002,1986-04-30,0.052863,-0.014148
10002,1986-05-30,-0.020921,0.050229
10002,1986-06-30,-0.132479,0.01411
10002,1986-07-31,0.049261,-0.058683
10002,1986-08-29,0.000000,0.071193
10002,1986-09-30,0.070423,-0.085439
10002,1986-10-31,-0.061404,0.054729
10002,1986-11-28,0.000000,0.021477
10002,1986-12-31,-0.074766,-0.028288
10002,1987-01-30,0.095960,0.131767
10002,1987-02-27,-0.013825,0.036924
10002,1987-03-31,-0.037383,0.02639
10002,1987-04-30,0.009709,-0.01145
10002,1987-05-29,0.038462,0.006034
10002,1987-06-30,0.000000,0.047915
10002,1987-07-31,0.037037,0.048224
10002,1987-08-31,-0.035714,0.034959
10002,1987-09-30,-0.074074,-0.024166
10002,1987-10-30,-0.200000,-0.21763
10002,1987-11-30,0.012500,-0.085349
10002,1987-12-31,-0.012346,0.072861
10002,1988-01-29,0.037500,0.040432
10002,1988-02-29,-0.036145,0.041817
10002,1988-03-31,0.025000,-0.033343
10002,1988-04-29,-0.048780,0.009425
10002,1988-05-31,-0.012821,0.003176
10002,1988-06-30,0.025974,0.043256
10002,1988-07-29,-0.012658,-0.005411
10002,1988-08-31,-0.025641,-0.0386
10002,1988-09-30,-0.013158,0.039729
10002,1988-10-31,0.000000,0.025964
10002,1988-11-30,-0.066667,-0.018891
10002,1988-12-30,-0.042857,0.014688
10002,1989-01-31,0.059701,0.071115
10002,1989-02-28,-0.014085,-0.028944
10002,1989-03-31,-0.028571,0.020806
10002,1989-04-28,-0.029412,0.05009
10002,1989-05-31,-0.030303,0.035138
10002,1989-06-30,0.046875,-0.007925
10002,1989-07-31,-0.029851,0.08837
10002,1989-08-31,-0.030769,0.015517
10002,1989-09-29,-0.095238,-0.006544
10002,1989-10-31,-0.122807,-0.025175
10002,1989-11-30,0.020000,0.016541
10002,1989-12-29,-0.039216,0.021417
10002,1990-01-31,0.020408,-0.068817
10002,1990-02-28,0.020000,0.008539
10002,1990-03-30,0.000000,0.024255
10002,1990-04-30,0.000000,-0.026887
10002,1990-05-31,0.000000,0.091989
10002,1990-06-29,0.000000,-0.008886
10002,1990-07-31,-0.039216,-0.005223
10002,1990-08-31,-0.040816,-0.094314
10002,1990-09-28,-0.127660,-0.051184
10002,1990-10-31,0.073171,-0.006698
10002,1990-11-30,-0.022727,0.059934
10002,1990-12-31,-0.069767,0.024828
10002,1991-01-31,-0.025000,0.041518
10002,1991-02-28,0.000000,0.067281
10002,1991-03-28,0.000000,0.022203
10002,1991-04-30,-0.051282,0.000346
10002,1991-05-31,0.000000,0.038577
10002,1991-06-28,0.000000,-0.047893
10002,1991-07-31,0.000000,0.044859
10002,1991-08-30,0.081081,0.019649
10002,1991-09-30,0.025000,-0.019144
10002,1991-10-31,0.000000,0.01186
10002,1991-11-29,0.000000,-0.043928
10002,1991-12-31,0.170732,0.111588
10002,1992-01-31,0.020833,-0.0199
10002,1992-02-28,0.000000,0.009565
10002,1992-03-31,0.040816,-0.021832
10002,1992-04-30,0.176471,0.027893
10002,1992-05-29,0.000000,0.000964
10002,1992-06-30,0.000000,-0.017359
10002,1992-07-31,0.033333,0.039374
10002,1992-08-31,0.096774,-0.023998
10002,1992-09-30,0.058824,0.009106
10002,1992-10-30,0.000000,0.002106
10002,1992-11-30,0.000000,0.030262
10002,1992-12-31,0.000000,0.010108
10002,1993-01-29,0.055556,0.007046
10002,1993-02-26,0.105263,0.010484
10002,1993-03-31,-0.047619,0.018697
10002,1993-04-30,0.225000,-0.025417
10002,1993-05-28,0.000000,0.022717
10002,1993-06-30,0.000000,0.000755
10002,1993-07-30,0.000000,-0.005327
10002,1993-08-31,0.030612,0.034432
10002,1993-09-30,0.029703,-0.009988
10002,1993-10-29,0.042308,0.019393
10002,1993-11-30,-0.046296,-0.012911
10002,1993-12-31,0.010097,0.010091
10002,1994-01-31,0.038835,0.032501
10002,1994-02-28,-0.009346,-0.030045
10002,1994-03-31,0.004528,-0.045746
10002,1994-04-29,-0.056604,0.011531
10002,1994-05-31,0.060000,0.012419
10002,1994-06-30,0.061132,-0.026812
10002,1994-07-29,-0.053571,0.031467
10002,1994-08-31,0.009434,0.037643
10002,1994-09-30,-0.022804,-0.026898
10002,1994-10-31,0.000000,0.020834
10002,1994-11-30,-0.038462,-0.039505
10002,1994-12-30,0.055600,0.012299
10002,1995-01-31,0.000000,0.024278
10002,1995-02-28,0.000000,0.036074
10002,1995-03-31,-0.022476,0.027329
10002,1995-04-28,0.019608,0.02796
10002,1995-05-31,0.038462,0.036312
10002,1995-06-30,-0.031111,0.021279
10002,1995-07-31,0.000000,0.031776
10002,1995-08-31,0.000000,-0.00032
10002,1995-09-29,0.121538,0.040098
10002,1995-10-31,-0.137931,-0.004979
10002,1995-11-30,0.070000,0.041049
10002,1995-12-29,0.052710,0.017444
10002,1996-01-31,-0.035714,0.032617
10002,1996-02-29,0.027778,0.006934
10002,1996-03-29,0.052252,0.007917
10002,1996-04-30,-0.043103,0.013431
10002,1996-05-31,0.000000,0.022853
10002,1996-06-28,0.007207,0.002257
10002,1996-07-31,-0.031532,-0.045748
10002,1996-08-30,0.004651,0.018814
10002,1996-09-30,0.016667,0.054173
10002,1996-10-31,-0.018349,0.026131
10002,1996-11-29,0.000000,0.073376
10002,1996-12-31,-0.020561,-0.021505
10002,1997-01-31,0.000000,0.061317
10002,1997-02-28,0.019231,0.005928
10002,1997-03-31,0.139623,-0.042614
10002,1997-04-30,-0.075000,0.058406
10002,1997-05-30,0.155963,0.058577
10002,1997-06-30,0.038095,0.043453
